[00:16:09] [Server thread/WARN]: Fetching packet for removed entity class_1542['Iron Ingot'/2515545, l='ServerLevel[ZaWarudo]', x=-47.20, y=74.00, z=48.94]
[18:10:55] [Server thread/INFO]: [tomisherio: Successfully filled 72 blocks]
[18:11:01] [Server thread/INFO]: [tomisherio: Successfully filled 72 blocks]
[18:11:06] [Server thread/INFO]: [tomisherio: Successfully filled 72 blocks]
[18:11:13] [Server thread/INFO]: [tomisherio: Successfully filled 72 blocks]
[18:11:21] [Server thread/INFO]: [tomisherio: Successfully filled 72 blocks]
[18:11:28] [Server thread/INFO]: [tomisherio: Successfully filled 72 blocks]
[18:11:33] [Server thread/INFO]: [tomisherio: Successfully filled 72 blocks]
[18:11:41] [Server thread/INFO]: [tomisherio: Successfully filled 72 blocks]
[18:11:50] [Server thread/INFO]: [tomisherio: Successfully filled 72 blocks]
[18:11:56] [Server thread/INFO]: [tomisherio: Successfully filled 72 blocks]
[18:12:01] [Server thread/INFO]: [tomisherio: Successfully filled 72 blocks]
[18:12:22] [Server thread/INFO]: [tomisherio: Successfully filled 72 blocks]
[18:12:31] [Server thread/INFO]: [tomisherio: Successfully filled 72 blocks]
[18:12:36] [Server thread/INFO]: [tomisherio: Successfully filled 72 blocks]
[18:12:43] [Server thread/INFO]: [tomisherio: Successfully filled 72 blocks]
[18:12:49] [Server thread/INFO]: [tomisherio: Successfully filled 72 blocks]
[18:12:54] [Server thread/INFO]: [tomisherio: Successfully filled 72 blocks]
[18:13:04] [Server thread/INFO]: [tomisherio: Successfully filled 72 blocks]
[18:13:36] [Server thread/INFO]: [tomisherio: Successfully filled 222 blocks]
[18:14:24] [Server thread/INFO]: [tomisherio: Successfully filled 74 blocks]
[18:15:01] [Server thread/INFO]: [tomisherio: Successfully filled 68 blocks]
[18:15:13] [Server thread/INFO]: [tomisherio: Successfully filled 218 blocks]
[18:16:09] [Server thread/INFO]: [tomisherio: Successfully filled 169 blocks]
[18:16:26] [Server thread/INFO]: [tomisherio: Successfully filled 74 blocks]
[18:16:41] [Server thread/INFO]: [tomisherio: Successfully filled 74 blocks]
[18:17:05] [Server thread/INFO]: [tomisherio: Successfully filled 218 blocks]
[18:20:01] [Server thread/INFO]: [tomisherio: Successfully filled 44 blocks]
[18:22:22] [Server thread/INFO]: [tomisherio: Successfully filled 71 blocks]
[18:32:46] [Server thread/INFO]: [tomisherio: Successfully filled 49 blocks]
[18:34:37] [Server thread/INFO]: [tomisherio: Successfully filled 59 blocks]
[18:34:58] [Server thread/INFO]: [tomisherio: Successfully filled 61 blocks]
[18:36:20] [Server thread/INFO]: [tomisherio: Successfully filled 72 blocks]
[18:37:06] [Server thread/INFO]: [tomisherio: Successfully filled 72 blocks]
[18:37:57] [Server thread/INFO]: [tomisherio: Successfully filled 72 blocks]
[18:38:15] [Server thread/INFO]: [tomisherio: Successfully filled 72 blocks]
[18:38:56] [Server thread/INFO]: [tomisherio: Successfully filled 70 blocks]
[18:39:10] [Server thread/INFO]: [tomisherio: Successfully filled 72 blocks]
[18:39:22] [Server thread/INFO]: [tomisherio: Successfully filled 72 blocks]
[18:39:29] [Server thread/INFO]: [tomisherio: Successfully filled 72 blocks]
[18:39:45] [Server thread/INFO]: [tomisherio: Successfully filled 72 blocks]
[18:39:55] [Server thread/INFO]: [tomisherio: Successfully filled 72 blocks]
[18:40:05] [Server thread/INFO]: [tomisherio: Successfully filled 72 blocks]
[18:40:18] [Server thread/INFO]: [tomisherio: Successfully filled 72 blocks]
[18:40:30] [Server thread/INFO]: [tomisherio: Successfully filled 72 blocks]
[18:40:41] [Server thread/INFO]: [tomisherio: Successfully filled 72 blocks]
[18:41:01] [Server thread/INFO]: [tomisherio: Successfully filled 72 blocks]
[18:41:10] [Server thread/INFO]: [tomisherio: Successfully filled 72 blocks]
[18:41:24] [Server thread/INFO]: [tomisherio: Successfully filled 72 blocks]
[18:41:41] [Server thread/INFO]: [tomisherio: Successfully filled 72 blocks]
[18:42:56] [Server thread/INFO]: [tomisherio: Successfully filled 72 blocks]
[18:43:05] [Server thread/INFO]: [tomisherio: Successfully filled 72 blocks]
[18:43:21] [Server thread/INFO]: [tomisherio: Successfully filled 72 blocks]
[18:48:31] [Server thread/INFO]: [tomisherio: Successfully filled 81 blocks]
[18:48:53] [Server thread/INFO]: [tomisherio: Successfully filled 83 blocks]
[18:49:12] [Server thread/INFO]: [tomisherio: Successfully filled 16 blocks]
[18:49:27] [Server thread/INFO]: [tomisherio: Successfully filled 84 blocks]
[18:57:22] [Server thread/INFO]: [tomisherio: Set own game mode to Survival Mode]
[19:08:53] [Server thread/WARN]: Fetching packet for removed entity class_1542['Sugar Cane'/2543173, l='ServerLevel[ZaWarudo]', x=997.94, y=79.02, z=655.11]
[19:16:02] [Server thread/WARN]: tomisherio moved wrongly!
[19:16:03] [Server thread/WARN]: tomisherio moved wrongly!
[19:18:36] [Server thread/INFO]: [tomisherio: Set own game mode to Spectator Mode]
[19:18:55] [Server thread/INFO]: [tomisherio: Set own game mode to Survival Mode]
[19:21:21] [Server thread/INFO]: [tomisherio: Gave 1 [White Concrete] to tomisherio]
[19:22:49] [Server thread/INFO]: [tomisherio: Gave 1 [White Concrete] to tomisherio]
